timestamp,cpu_percent,memory_percent,disk_read,disk_write,net_sent,net_recv
1757615733,22,88.3,6.79168E+11,2.88182E+11,509259624,948959494
1757615734,16.9,88.3,6.79168E+11,2.88182E+11,509267979,948960216
1757615735,20.2,88.5,6.79212E+11,2.88182E+11,509272527,948970722
1757615736,17.7,89.3,6.793E+11,2.88182E+11,509273547,948973583
1757615737,25.5,89.5,6.79375E+11,2.88182E+11,509273547,948973583
1757615738,23.7,88.6,6.79447E+11,2.88183E+11,509273746,948973697
1757615739,26.7,89.8,6.79549E+11,2.88183E+11,509273746,948973697
1757615740,18.2,90.7,6.79635E+11,2.88183E+11,509273821,948973783
1757615741,26.4,90.5,6.79714E+11,2.88183E+11,509273821,948973783
1757615742,23.2,91.1,6.79798E+11,2.88184E+11,509273821,948973783
1757615743,27.3,91.5,6.79939E+11,2.88184E+11,509284646,948991530
1757615744,30.9,91.9,6.80055E+11,2.88184E+11,509311582,949086817
1757615745,45.9,93.2,6.80239E+11,2.88184E+11,509312677,949090591
1757615746,56.2,93.6,6.80512E+11,2.88184E+11,509314476,949098817
1757615747,74.3,92.1,6.80565E+11,2.88185E+11,509332307,949135076
1757615748,32.1,91.4,6.80597E+11,2.88186E+11,509332985,949135997
1757615749,51.1,91.2,6.80621E+11,2.88186E+11,509347576,949158370
1757615750,44.3,90,6.80642E+11,2.88188E+11,509347678,949158542
1757615751,32.4,88.2,6.80656E+11,2.88198E+11,509347678,949158542
1757615752,18.4,87.5,6.80657E+11,2.88226E+11,509347678,949158542
1757615753,25,87.7,6.80658E+11,2.88226E+11,509348180,949159018
1757615754,23.2,87.7,6.8066E+11,2.88226E+11,509348180,949159018
1757615755,19.3,85,6.80661E+11,2.88444E+11,509348419,949159236
1757615756,20.1,85,6.80666E+11,2.88444E+11,509355998,949162478
1757615757,16.1,85.1,6.80667E+11,2.88444E+11,509355998,949162478
1757615758,14.8,85.2,6.80667E+11,2.88444E+11,509356096,949162552
1757615759,23.3,85.5,6.80677E+11,2.88444E+11,509356656,949165093
1757615760,36.2,86.7,6.80731E+11,2.88445E+11,509357397,949167231
1757615761,39.2,87.1,6.80747E+11,2.88448E+11,509357877,949167683
1757615762,15.3,87.1,6.80748E+11,2.88448E+11,509357952,949167769
1757615763,17,87,6.80748E+11,2.88448E+11,509357952,949167769
1757615764,11.8,86.9,6.80751E+11,2.8845E+11,509357952,949167769
1757615766,13.7,86.5,6.80752E+11,2.8845E+11,509358603,949169684
1757615767,33.9,86.7,6.80817E+11,2.88451E+11,509358603,949169684
1757615768,44.2,88.1,6.8085E+11,2.88452E+11,509358761,949169892
1757615769,40.2,88.7,6.8087E+11,2.88452E+11,509358919,949170100
1757615770,22.4,88.7,6.80884E+11,2.88452E+11,509362870,949171655
1757615771,20.6,88.7,6.80887E+11,2.88453E+11,509363586,949175516
1757615772,39.6,90.2,6.80927E+11,2.88453E+11,509367868,949182433
1757615773,43.2,91,6.80948E+11,2.88453E+11,509370602,949183784
1757615774,14.2,90.9,6.8096E+11,2.88453E+11,509377627,949192487
1757615775,19.4,90.8,6.80961E+11,2.88454E+11,509388875,949200966
1757615776,31.2,90.8,6.80967E+11,2.88454E+11,509402223,949214333
1757615777,22.8,91.1,6.80969E+11,2.88454E+11,509403354,949220478
1757615778,32.2,91.6,6.80985E+11,2.88455E+11,509403553,949220678
1757615779,18.9,92,6.80997E+11,2.88455E+11,509403663,949220816
1757615780,18.3,92,6.81001E+11,2.88455E+11,509403773,949220954
1757615781,22.5,92.2,6.81017E+11,2.88455E+11,509403859,949221040
1757615782,20.6,92.7,6.81079E+11,2.88456E+11,509404928,949221597
1757615783,15.7,92.7,6.81099E+11,2.88456E+11,509405402,949221991
1757615784,21.6,92,6.811E+11,2.8846E+11,509405617,949222077
1757615785,20.3,92,6.81101E+11,2.8846E+11,509405876,949222414
1757615786,21.3,92.1,6.81106E+11,2.8846E+11,509405959,949222547
1757615787,22.8,90.9,6.81117E+11,2.8846E+11,509406042,949222680
1757615788,17,90.8,6.8112E+11,2.8846E+11,509406358,949223096
1757615789,65.1,90.4,6.81148E+11,2.88461E+11,509423911,949253125
1757615790,54.7,90,6.81154E+11,2.88461E+11,509431676,949257749
1757615791,16.5,89.4,6.81155E+11,2.88462E+11,509431676,949257749
1757615792,20.9,87.9,6.81162E+11,2.88574E+11,509431676,949257749
1757615793,30.4,87.9,6.81216E+11,2.88575E+11,509434880,949300327
1757615794,22.2,88.1,6.8123E+11,2.88576E+11,509442344,949308372
1757615795,18.6,88.1,6.8124E+11,2.88577E+11,509444252,949356948
1757615796,21.4,88.2,6.81325E+11,2.88577E+11,509446448,949361448
1757615797,23,88.5,6.8134E+11,2.88577E+11,509446448,949361448
1757615798,53.8,89.7,6.81407E+11,2.88578E+11,509455610,949453632
1757615799,74.6,90.1,6.81459E+11,2.88579E+11,509492193,949663545
1757615800,57.9,90.7,6.81528E+11,2.8858E+11,509525742,949759857
1757615801,37.3,90.7,6.81624E+11,2.88581E+11,509545738,949811718
1757615802,25.2,90.6,6.81628E+11,2.88582E+11,509552132,949830734
